image_id,label,class_name
4252236416.jpg,3,Cassava Mosaic Disease (CMD)
1658661727.jpg,3,Cassava Mosaic Disease (CMD)
736896439.jpg,3,Cassava Mosaic Disease (CMD)
3241869544.jpg,3,Cassava Mosaic Disease (CMD)
3191863856.jpg,3,Cassava Mosaic Disease (CMD)
3734446878.jpg,3,Cassava Mosaic Disease (CMD)
3433580973.jpg,4,Healthy
2089175857.jpg,3,Cassava Mosaic Disease (CMD)
2445871851.jpg,4,Healthy
1602157367.jpg,3,Cassava Mosaic Disease (CMD)
3749674341.jpg,4,Healthy
4053510295.jpg,3,Cassava Mosaic Disease (CMD)
285688813.jpg,3,Cassava Mosaic Disease (CMD)
3308322126.jpg,3,Cassava Mosaic Disease (CMD)
1796126555.jpg,3,Cassava Mosaic Disease (CMD)
854627770.jpg,3,Cassava Mosaic Disease (CMD)
815227743.jpg,3,Cassava Mosaic Disease (CMD)
1822627582.jpg,2,Cassava Green Mottle (CGM)
690163.jpg,3,Cassava Mosaic Disease (CMD)
893564766.jpg,3,Cassava Mosaic Disease (CMD)
3449271409.jpg,3,Cassava Mosaic Disease (CMD)
4074421218.jpg,0,Cassava Bacterial Blight (CBB)
4273381406.jpg,3,Cassava Mosaic Disease (CMD)
3449080403.jpg,3,Cassava Mosaic Disease (CMD)
2183278939.jpg,3,Cassava Mosaic Disease (CMD)
2497853532.jpg,3,Cassava Mosaic Disease (CMD)
3786764254.jpg,3,Cassava Mosaic Disease (CMD)
618654809.jpg,3,Cassava Mosaic Disease (CMD)
3888347347.jpg,1,Cassava Brown Streak Disease (CBSD)
612647551.jpg,4,Healthy
266192963.jpg,3,Cassava Mosaic Disease (CMD)
362695786.jpg,2,Cassava Green Mottle (CGM)
2114057874.jpg,3,Cassava Mosaic Disease (CMD)
2768992642.jpg,3,Cassava Mosaic Disease (CMD)
3693127282.jpg,0,Cassava Bacterial Blight (CBB)
3511031067.jpg,3,Cassava Mosaic Disease (CMD)
575428243.jpg,3,Cassava Mosaic Disease (CMD)
2617871332.jpg,3,Cassava Mosaic Disease (CMD)
443211656.jpg,4,Healthy
2807877356.jpg,3,Cassava Mosaic Disease (CMD)
3343675403.jpg,3,Cassava Mosaic Disease (CMD)
1764035840.jpg,2,Cassava Green Mottle (CGM)
3343975940.jpg,0,Cassava Bacterial Blight (CBB)
314175675.jpg,4,Healthy
1833807864.jpg,2,Cassava Green Mottle (CGM)
779647083.jpg,3,Cassava Mosaic Disease (CMD)
2932250281.jpg,4,Healthy
3901976814.jpg,2,Cassava Green Mottle (CGM)
3402601721.jpg,0,Cassava Bacterial Blight (CBB)
4225133358.jpg,2,Cassava Green Mottle (CGM)
179693098.jpg,1,Cassava Brown Streak Disease (CBSD)
828576182.jpg,3,Cassava Mosaic Disease (CMD)
287967918.jpg,3,Cassava Mosaic Disease (CMD)
236777190.jpg,3,Cassava Mosaic Disease (CMD)
4149442480.jpg,3,Cassava Mosaic Disease (CMD)
