epoch,phase,loss,acc
1,train,0.7610792621293405,0.7257117371589981
1,val,0.6789594197397292,0.7658862876254181
2,train,0.6086544473268884,0.7825763770162789
2,val,0.6760735851998048,0.7584541062801933
3,train,0.5441556554837341,0.8032409128075523
3,val,0.6524972022354979,0.7751765143069491
4,train,0.5125822664804728,0.8140935107410987
4,val,0.6647164954965508,0.7617985878855444
5,train,0.46177790630468957,0.8350553779826062
5,val,0.5772548786816832,0.8030471943515421
6,train,0.4233942288745604,0.8468743031294136
6,val,0.8169756037557226,0.7807506503158678
7,train,0.39018882365241986,0.8615922099160039
7,val,0.5944433751955922,0.8179115570419918
8,train,0.35531942751171386,0.8734111350628113
8,val,0.5974829587538594,0.7959866220735786
9,train,0.31141396820000233,0.8879803761242846
9,val,0.7198348379033244,0.7625418060200669
10,train,0.28060202532157325,0.9012859585222628
10,val,0.9000474983145871,0.7034559643255296
11,train,0.2492392857577786,0.9141455437448897
11,val,0.9238482656996297,0.7361575622445188
12,train,0.21602951243269455,0.9235114844272654
12,val,0.723266391567429,0.8086213303604608
13,train,0.19407199110066253,0.9329517579721995
13,val,0.8271431718028553,0.7409884801189149
14,train,0.17766257156441753,0.9381550583512972
14,val,0.781032334823495,0.7866963953920476
15,train,0.15704476413102625,0.944770683119007
15,val,0.8802201357617869,0.7822370865849126
16,train,0.15388179077810935,0.9476696647587899
16,val,0.7929180922538364,0.7889260497956151
17,train,0.13050406788308488,0.9561436110904632
17,val,1.0329414245055448,0.7116313638052769
18,train,0.13876382222913203,0.9517579721995094
18,val,0.783260049185581,0.8034188034188035
19,train,0.12435166693441328,0.9580762655169851
19,val,0.8605867888638629,0.8004459308807135
20,train,0.11112402146131782,0.9603805842562998
20,val,0.9571501823527713,0.7874396135265701
21,train,0.1257814320249723,0.9575559354790754
21,val,0.7934445119488864,0.804162021553326
22,train,0.11549714104084333,0.9615699100572364
22,val,1.0363935976389924,0.7844667409884801
23,train,0.11520671819006564,0.9609752471567681
23,val,0.8700037743330046,0.7788926049795615
24,train,0.10546968509687825,0.9627592358581729
24,val,1.054371155092416,0.7625418060200669
25,train,0.10490057496830964,0.9652865531851632
25,val,0.984261143389177,0.7785209959123003
26,train,0.113680337514239,0.9617185757823534
26,val,0.9235191901391964,0.7859531772575251
27,train,0.08788206055718847,0.9690775291756486
27,val,0.9151198591265879,0.7677443329617243
28,train,0.10954140812005729,0.9626105701330558
28,val,0.909415077009013,0.7907840951319213
29,train,0.09385486340512576,0.9693748606258827
29,val,0.9017597236561536,0.779635823114084
30,train,0.09082973623586119,0.9695978592135583
30,val,0.9418133430969245,0.7755481233742103
31,train,0.08809873456295862,0.9695235263509998
31,val,0.9504929987837594,0.7766629505759941
32,train,0.10202132967976861,0.9668475432988926
32,val,0.9316642264015654,0.7510219249349684
33,train,0.07663425498028045,0.9727198394410169
33,val,0.9380964188604982,0.7840951319212189
34,train,0.0906234213587104,0.9676652047870364
34,val,0.9907901024384288,0.7889260497956151
35,train,0.09218542229325756,0.9687058648628559
35,val,1.1052676027302226,0.7666295057599406
36,train,0.08365394694317072,0.9723481751282242
36,val,1.084719258318688,0.7788926049795615
37,train,0.09041466663462039,0.9710845164647292
37,val,0.999491058314923,0.7829803047194351
38,train,0.07819865240511152,0.9743551624173048
38,val,0.9790775510999892,0.7647714604236343
39,train,0.0864168677681451,0.969820857801234
39,val,1.2634437599855146,0.7417316982534374
40,train,0.08901260892952595,0.9690031963130901
40,val,0.9452563009931889,0.7744332961724266
41,train,0.0770550745603126,0.9745038281424219
41,val,0.9536100543595211,0.7666295057599406
42,train,0.07367367957346432,0.9739091652419535
42,val,0.9291937943286321,0.7896692679301375
43,train,0.09260053709282279,0.9703411878391438
43,val,0.91307990677137,0.7829803047194351
44,train,0.07337971457168001,0.9738348323793949
44,val,1.030832035507867,0.7881828316610926
45,train,0.07108654974528708,0.9748754924552145
45,val,1.0406862198863496,0.7859531772575251
