image_id,label,class_name
157078263.jpg,3,Cassava Mosaic Disease (CMD)
1574893536.jpg,3,Cassava Mosaic Disease (CMD)
1575013487.jpg,3,Cassava Mosaic Disease (CMD)
1576606254.jpg,0,Cassava Bacterial Blight (CBB)
1579761476.jpg,1,Cassava Brown Streak Disease (CBSD)
1581274070.jpg,3,Cassava Mosaic Disease (CMD)
1583452886.jpg,4,Healthy
1586131534.jpg,3,Cassava Mosaic Disease (CMD)
159163820.jpg,1,Cassava Brown Streak Disease (CBSD)
1593185834.jpg,3,Cassava Mosaic Disease (CMD)
1593622565.jpg,3,Cassava Mosaic Disease (CMD)
159364760.jpg,3,Cassava Mosaic Disease (CMD)
1593671887.jpg,3,Cassava Mosaic Disease (CMD)
1593718763.jpg,1,Cassava Brown Streak Disease (CBSD)
1594306558.jpg,3,Cassava Mosaic Disease (CMD)
1594317361.jpg,3,Cassava Mosaic Disease (CMD)
1594527839.jpg,2,Cassava Green Mottle (CGM)
1595079320.jpg,3,Cassava Mosaic Disease (CMD)
1595085512.jpg,3,Cassava Mosaic Disease (CMD)
1595096662.jpg,4,Healthy
1595141360.jpg,0,Cassava Bacterial Blight (CBB)
1595485153.jpg,3,Cassava Mosaic Disease (CMD)
1595574343.jpg,3,Cassava Mosaic Disease (CMD)
1595577438.jpg,2,Cassava Green Mottle (CGM)
1595866872.jpg,1,Cassava Brown Streak Disease (CBSD)
1595991978.jpg,3,Cassava Mosaic Disease (CMD)
1596196838.jpg,1,Cassava Brown Streak Disease (CBSD)
1596278382.jpg,3,Cassava Mosaic Disease (CMD)
1596461528.jpg,1,Cassava Brown Streak Disease (CBSD)
1596468225.jpg,0,Cassava Bacterial Blight (CBB)
159654644.jpg,1,Cassava Brown Streak Disease (CBSD)
1597235607.jpg,3,Cassava Mosaic Disease (CMD)
1597577379.jpg,4,Healthy
1597845268.jpg,3,Cassava Mosaic Disease (CMD)
1598014441.jpg,3,Cassava Mosaic Disease (CMD)
1598087640.jpg,3,Cassava Mosaic Disease (CMD)
1598187662.jpg,3,Cassava Mosaic Disease (CMD)
1598194958.jpg,3,Cassava Mosaic Disease (CMD)
15982075.jpg,3,Cassava Mosaic Disease (CMD)
1598320375.jpg,3,Cassava Mosaic Disease (CMD)
1598396225.jpg,2,Cassava Green Mottle (CGM)
1598690693.jpg,3,Cassava Mosaic Disease (CMD)
1599378224.jpg,3,Cassava Mosaic Disease (CMD)
1599665158.jpg,4,Healthy
1600011797.jpg,3,Cassava Mosaic Disease (CMD)
1600111988.jpg,3,Cassava Mosaic Disease (CMD)
1600157246.jpg,3,Cassava Mosaic Disease (CMD)
1600742587.jpg,2,Cassava Green Mottle (CGM)
1600762531.jpg,3,Cassava Mosaic Disease (CMD)
1600900862.jpg,3,Cassava Mosaic Disease (CMD)
1601382474.jpg,3,Cassava Mosaic Disease (CMD)
1601545456.jpg,3,Cassava Mosaic Disease (CMD)
1601560938.jpg,4,Healthy
1601764877.jpg,1,Cassava Brown Streak Disease (CBSD)
1602157367.jpg,3,Cassava Mosaic Disease (CMD)
1602254033.jpg,3,Cassava Mosaic Disease (CMD)
1602370906.jpg,3,Cassava Mosaic Disease (CMD)
1602453903.jpg,3,Cassava Mosaic Disease (CMD)
1602542703.jpg,4,Healthy
1602599549.jpg,3,Cassava Mosaic Disease (CMD)
1603012255.jpg,3,Cassava Mosaic Disease (CMD)
1603130456.jpg,1,Cassava Brown Streak Disease (CBSD)
1603131722.jpg,3,Cassava Mosaic Disease (CMD)
1603286748.jpg,3,Cassava Mosaic Disease (CMD)
16033842.jpg,3,Cassava Mosaic Disease (CMD)
1603729463.jpg,1,Cassava Brown Streak Disease (CBSD)
1604328731.jpg,1,Cassava Brown Streak Disease (CBSD)
1604513601.jpg,3,Cassava Mosaic Disease (CMD)
1605560939.jpg,2,Cassava Green Mottle (CGM)
1606256494.jpg,3,Cassava Mosaic Disease (CMD)
1606458459.jpg,2,Cassava Green Mottle (CGM)
1606494561.jpg,1,Cassava Brown Streak Disease (CBSD)
1606670390.jpg,3,Cassava Mosaic Disease (CMD)
1606690131.jpg,3,Cassava Mosaic Disease (CMD)
1606801147.jpg,1,Cassava Brown Streak Disease (CBSD)
1607087968.jpg,4,Healthy
160835156.jpg,3,Cassava Mosaic Disease (CMD)
160845950.jpg,3,Cassava Mosaic Disease (CMD)
1608599582.jpg,4,Healthy
1608836835.jpg,3,Cassava Mosaic Disease (CMD)
1608857677.jpg,2,Cassava Green Mottle (CGM)
1608948365.jpg,3,Cassava Mosaic Disease (CMD)
1609127882.jpg,3,Cassava Mosaic Disease (CMD)
1609948219.jpg,0,Cassava Bacterial Blight (CBB)
1610155369.jpg,3,Cassava Mosaic Disease (CMD)
1610261213.jpg,3,Cassava Mosaic Disease (CMD)
1610293163.jpg,3,Cassava Mosaic Disease (CMD)
1610505683.jpg,3,Cassava Mosaic Disease (CMD)
1610520050.jpg,1,Cassava Brown Streak Disease (CBSD)
1610546537.jpg,3,Cassava Mosaic Disease (CMD)
1610632486.jpg,3,Cassava Mosaic Disease (CMD)
1611142189.jpg,3,Cassava Mosaic Disease (CMD)
1611662564.jpg,4,Healthy
1611894117.jpg,2,Cassava Green Mottle (CGM)
1611948994.jpg,2,Cassava Green Mottle (CGM)
1612059624.jpg,2,Cassava Green Mottle (CGM)
161212223.jpg,3,Cassava Mosaic Disease (CMD)
1612152421.jpg,3,Cassava Mosaic Disease (CMD)
1612177465.jpg,2,Cassava Green Mottle (CGM)
1612215855.jpg,3,Cassava Mosaic Disease (CMD)
1612928638.jpg,2,Cassava Green Mottle (CGM)
1613469030.jpg,3,Cassava Mosaic Disease (CMD)
161368789.jpg,3,Cassava Mosaic Disease (CMD)
1613820742.jpg,4,Healthy
1613859560.jpg,3,Cassava Mosaic Disease (CMD)
1613876576.jpg,3,Cassava Mosaic Disease (CMD)
1613918546.jpg,1,Cassava Brown Streak Disease (CBSD)
1613995728.jpg,3,Cassava Mosaic Disease (CMD)
161407663.jpg,2,Cassava Green Mottle (CGM)
1614269960.jpg,2,Cassava Green Mottle (CGM)
1614282966.jpg,3,Cassava Mosaic Disease (CMD)
1614856846.jpg,3,Cassava Mosaic Disease (CMD)
1615166642.jpg,2,Cassava Green Mottle (CGM)
1615919700.jpg,1,Cassava Brown Streak Disease (CBSD)
1616161207.jpg,3,Cassava Mosaic Disease (CMD)
1616207760.jpg,2,Cassava Green Mottle (CGM)
1616411405.jpg,3,Cassava Mosaic Disease (CMD)
1616824359.jpg,0,Cassava Bacterial Blight (CBB)
1617011317.jpg,3,Cassava Mosaic Disease (CMD)
1617179127.jpg,3,Cassava Mosaic Disease (CMD)
1617366913.jpg,2,Cassava Green Mottle (CGM)
1617428825.jpg,3,Cassava Mosaic Disease (CMD)
1617688706.jpg,3,Cassava Mosaic Disease (CMD)
1617838083.jpg,3,Cassava Mosaic Disease (CMD)
1618183544.jpg,3,Cassava Mosaic Disease (CMD)
1618418212.jpg,3,Cassava Mosaic Disease (CMD)
1618553576.jpg,3,Cassava Mosaic Disease (CMD)
1618933538.jpg,3,Cassava Mosaic Disease (CMD)
1618985513.jpg,3,Cassava Mosaic Disease (CMD)
1619107480.jpg,3,Cassava Mosaic Disease (CMD)
1619728520.jpg,2,Cassava Green Mottle (CGM)
1620003976.jpg,3,Cassava Mosaic Disease (CMD)
1620023854.jpg,3,Cassava Mosaic Disease (CMD)
1620145508.jpg,3,Cassava Mosaic Disease (CMD)
1620397384.jpg,4,Healthy
1620428397.jpg,3,Cassava Mosaic Disease (CMD)
1620448232.jpg,3,Cassava Mosaic Disease (CMD)
1620520696.jpg,2,Cassava Green Mottle (CGM)
1620611886.jpg,2,Cassava Green Mottle (CGM)
1620888831.jpg,3,Cassava Mosaic Disease (CMD)
1620970351.jpg,3,Cassava Mosaic Disease (CMD)
1621074094.jpg,3,Cassava Mosaic Disease (CMD)
1621255319.jpg,2,Cassava Green Mottle (CGM)
1621362988.jpg,4,Healthy
1621380835.jpg,3,Cassava Mosaic Disease (CMD)
1621817975.jpg,3,Cassava Mosaic Disease (CMD)
1621972953.jpg,3,Cassava Mosaic Disease (CMD)
1622070201.jpg,2,Cassava Green Mottle (CGM)
1622141266.jpg,2,Cassava Green Mottle (CGM)
1622159386.jpg,2,Cassava Green Mottle (CGM)
1622379223.jpg,3,Cassava Mosaic Disease (CMD)
162248100.jpg,3,Cassava Mosaic Disease (CMD)
1622560138.jpg,2,Cassava Green Mottle (CGM)
1622568975.jpg,1,Cassava Brown Streak Disease (CBSD)
1622914804.jpg,3,Cassava Mosaic Disease (CMD)
1623025307.jpg,3,Cassava Mosaic Disease (CMD)
1623050708.jpg,3,Cassava Mosaic Disease (CMD)
1623430367.jpg,4,Healthy
1623680984.jpg,4,Healthy
1623777842.jpg,3,Cassava Mosaic Disease (CMD)
1624580117.jpg,3,Cassava Mosaic Disease (CMD)
162460466.jpg,3,Cassava Mosaic Disease (CMD)
162469739.jpg,3,Cassava Mosaic Disease (CMD)
1625461178.jpg,2,Cassava Green Mottle (CGM)
1625527821.jpg,3,Cassava Mosaic Disease (CMD)
1626054782.jpg,3,Cassava Mosaic Disease (CMD)
162740748.jpg,1,Cassava Brown Streak Disease (CBSD)
1627474400.jpg,1,Cassava Brown Streak Disease (CBSD)
1627704397.jpg,3,Cassava Mosaic Disease (CMD)
1627787371.jpg,3,Cassava Mosaic Disease (CMD)
1628667516.jpg,3,Cassava Mosaic Disease (CMD)
1628755791.jpg,4,Healthy
1628925501.jpg,3,Cassava Mosaic Disease (CMD)
1628979950.jpg,3,Cassava Mosaic Disease (CMD)
1629130822.jpg,3,Cassava Mosaic Disease (CMD)
1629406213.jpg,4,Healthy
162947889.jpg,3,Cassava Mosaic Disease (CMD)
1629534694.jpg,0,Cassava Bacterial Blight (CBB)
1629563382.jpg,2,Cassava Green Mottle (CGM)
1629904926.jpg,3,Cassava Mosaic Disease (CMD)
1630010851.jpg,1,Cassava Brown Streak Disease (CBSD)
1630082707.jpg,3,Cassava Mosaic Disease (CMD)
1630104012.jpg,3,Cassava Mosaic Disease (CMD)
1630304159.jpg,3,Cassava Mosaic Disease (CMD)
1630512666.jpg,3,Cassava Mosaic Disease (CMD)
1630994190.jpg,3,Cassava Mosaic Disease (CMD)
1631043565.jpg,3,Cassava Mosaic Disease (CMD)
163120716.jpg,2,Cassava Green Mottle (CGM)
1631397299.jpg,3,Cassava Mosaic Disease (CMD)
1631499336.jpg,3,Cassava Mosaic Disease (CMD)
1631562521.jpg,3,Cassava Mosaic Disease (CMD)
